-8.125	-10	-13.125	-10.625	-16.25	-20	-14.375	-11.25	-18.125	-11.875	-16.25	-16.25	-19.375	-63.125	-28.125	-33.125	-31.25	-28.75	-25	-30	-26.875	-24.375	-26.25	-25.625	-30.625
-10.625	-10	-11.875	-10.625	-21.875	-17.5	-12.5	-13.125	-16.25	-13.75	-16.25	-14.375	-20	-62.5	-28.75	-33.125	-34.375	-30	-20.625	-28.125	-27.5	-23.125	-27.5	-26.875	-28.75
-13.75	-10.625	-10.625	-11.875	-16.875	-15.625	-16.25	-11.875	-18.125	-15.625	-15.625	-16.25	-18.75	-64.375	-32.5	-28.75	-34.375	-30	-22.5	-28.125	-28.75	-23.75	-29.375	-26.875	-28.75
-13.75	-11.25	-11.25	-12.5	-15.625	-18.125	-13.125	-13.125	-18.125	-15.625	-18.125	-19.375	-20.625	-63.125	-28.75	-31.25	-31.875	-29.375	-28.125	-30	-28.75	-25	-28.75	-28.125	-29.375
-11.875	-14.375	-10	-10	-14.375	-20	-11.25	-14.375	-18.75	-14.375	-18.125	-16.875	-20.625	-60	-26.25	-33.125	-32.5	-27.5	-26.875	-28.75	-28.75	-26.25	-26.875	-30.625	-31.25
-13.125	-15.625	-10	-13.125	-15	-18.125	-13.125	-15	-19.375	-7.5	-15.625	-14.375	-22.5	-59.375	-29.375	-33.75	-31.875	-25	-26.25	-28.75	-30	-26.875	-25	-28.75	-31.875
-13.125	-13.75	-8.125	-11.875	-18.125	-13.75	-11.875	-13.75	-16.875	-10	-15.625	-15	-22.5	-60	-30	-35.625	-32.5	-28.75	-27.5	-29.375	-30	-26.875	-26.25	-27.5	-29.375
-13.75	-11.875	-10	-10	-16.25	-13.75	-9.375	-10.625	-18.125	-13.75	-20	-16.25	-18.125	-61.875	-30.625	-31.25	-30.625	-30.625	-24.375	-30.625	-26.25	-28.75	-27.5	-28.75	-30.625
-11.875	-13.125	-11.875	-10.625	-13.125	-17.5	-10	-14.375	-18.75	-13.125	-19.375	-17.5	-16.875	-58.75	-28.75	-28.125	-26.875	-28.75	-24.375	-30	-27.5	-28.125	-26.875	-28.125	-30
-10	-12.5	-9.375	-13.75	-11.25	-16.25	-10	-14.375	-18.75	-10	-15	-16.875	-18.75	-58.125	-28.125	-30	-28.75	-30.625	-26.25	-26.875	-27.5	-25	-27.5	-28.125	-30
-11.875	-9.375	-8.125	-10	-15.625	-17.5	-13.75	-13.75	-15.625	-10.625	-15	-17.5	-20.625	-63.125	-28.75	-33.125	-31.875	-31.25	-23.75	-29.375	-26.25	-26.25	-30	-28.75	-31.25
-10.625	-8.75	-7.5	-8.125	-14.375	-18.75	-15	-13.75	-16.25	-10.625	-15	-16.875	-19.375	-65	-28.75	-33.75	-33.125	-31.25	-24.375	-28.125	-28.125	-28.75	-27.5	-28.125	-30
-11.25	-9.375	-10.625	-9.375	-14.375	-18.125	-13.75	-14.375	-19.375	-12.5	-16.875	-20	-16.25	-62.5	-31.875	-30	-30	-31.875	-27.5	-23.125	-26.875	-27.5	-25	-26.25	-30.625
-13.125	-11.25	-11.25	-13.75	-15	-15.625	-13.75	-14.375	-19.375	-15	-16.875	-14.375	-17.5	-61.25	-33.75	-29.375	-30	-29.375	-26.25	-26.875	-23.75	-24.375	-26.875	-26.875	-32.5
-11.875	-15.625	-10	-13.125	-14.375	-16.25	-13.125	-13.125	-15.625	-12.5	-15	-10	-18.75	-61.25	-31.25	-28.125	-30.625	-25.625	-25.625	-27.5	-26.875	-24.375	-27.5	-29.375	-31.25
-13.125	-13.75	-7.5	-11.875	-14.375	-18.125	-13.75	-15.625	-15	-6.25	-15.625	-14.375	-20	-60	-29.375	-29.375	-33.125	-26.25	-25.625	-22.5	-29.375	-26.875	-25.625	-30	-30
-11.875	-8.75	-13.125	-10	-15.625	-15.625	-15	-17.5	-12.5	-10	-17.5	-14.375	-23.125	-62.5	-30	-30	-31.875	-26.875	-25.625	-26.25	-28.75	-25	-28.75	-29.375	-30.625
-11.25	-10	-10.625	-10.625	-16.25	-16.25	-13.125	-11.25	-14.375	-13.125	-16.875	-15	-22.5	-64.375	-30.625	-33.125	-31.875	-30	-25	-27.5	-27.5	-26.875	-26.875	-28.75	-31.875
-11.875	-13.75	-10	-14.375	-15.625	-18.125	-13.125	-12.5	-16.25	-10	-13.125	-17.5	-19.375	-63.75	-28.75	-35.625	-31.875	-29.375	-25.625	-26.875	-30.625	-26.25	-26.875	-26.25	-27.5
-16.875	-11.875	-15.625	-13.75	-17.5	-15.625	-13.75	-11.25	-16.875	-7.5	-15	-15	-18.125	-61.25	-30.625	-36.875	-32.5	-25.625	-27.5	-24.375	-29.375	-23.75	-27.5	-23.75	-26.25
-13.75	-10	-13.125	-10	-15	-18.75	-13.125	-10	-16.875	-9.375	-15.625	-15.625	-20	-61.875	-30.625	-34.375	-32.5	-29.375	-29.375	-25.625	-26.25	-26.875	-26.875	-22.5	-29.375
-15.625	-9.375	-11.25	-10	-11.875	-18.125	-13.75	-10	-16.25	-10	-15	-16.25	-18.125	-62.5	-30.625	-34.375	-31.875	-31.25	-29.375	-25.625	-27.5	-28.125	-27.5	-25	-31.25
-18.125	-9.375	-13.125	-10	-13.75	-17.5	-11.25	-10	-17.5	-9.375	-15.625	-13.125	-18.125	-64.375	-31.25	-33.125	-30.625	-31.875	-26.875	-28.125	-28.125	-27.5	-28.75	-25.625	-32.5
-13.75	-12.5	-13.75	-9.375	-13.75	-18.125	-9.375	-12.5	-15.625	-10.625	-18.125	-13.125	-20	-66.25	-30	-32.5	-30	-28.75	-24.375	-28.75	-25.625	-25.625	-26.875	-25.625	-31.875
-11.25	-10	-10.625	-10	-13.75	-15	-13.125	-13.125	-18.125	-14.375	-16.875	-13.125	-20.625	-63.125	-30	-30	-29.375	-28.75	-26.25	-25.625	-26.25	-22.5	-21.875	-22.5	-33.125
-13.125	-9.375	-12.5	-10	-16.25	-14.375	-14.375	-11.25	-18.125	-10	-18.125	-16.25	-16.875	-60.625	-32.5	-31.25	-33.125	-28.75	-30.625	-28.125	-28.75	-23.125	-25.625	-23.125	-31.25
-10.625	-10	-11.25	-10.625	-13.125	-16.875	-13.125	-10	-18.125	-10	-19.375	-16.875	-16.25	-60.625	-31.875	-36.25	-32.5	-28.125	-28.75	-26.875	-25	-26.875	-27.5	-24.375	-30.625
-11.875	-11.875	-11.875	-13.125	-15	-15.625	-14.375	-10	-18.125	-11.25	-14.375	-15	-18.75	-62.5	-31.25	-33.125	-33.125	-30.625	-25.625	-25	-30	-28.125	-24.375	-24.375	-34.375
-11.25	-8.75	-13.125	-9.375	-15.625	-15.625	-15	-13.75	-16.875	-11.25	-15	-15.625	-20	-63.125	-27.5	-32.5	-31.875	-30	-24.375	-28.75	-30	-27.5	-26.25	-24.375	-36.25
-11.25	-8.75	-11.875	-13.75	-14.375	-15.625	-13.125	-13.75	-18.75	-13.125	-15	-15.625	-20	-65.625	-27.5	-35.625	-29.375	-27.5	-30	-27.5	-26.875	-28.75	-28.75	-25.625	-33.125
-11.875	-12.5	-8.75	-16.875	-16.25	-18.75	-12.5	-12.5	-17.5	-11.25	-16.875	-14.375	-20	-62.5	-28.125	-34.375	-30	-29.375	-30.625	-25	-26.25	-23.75	-30.625	-28.125	-28.75
-14.375	-13.125	-9.375	-11.25	-16.25	-13.125	-13.75	-10	-16.25	-10	-16.875	-15	-16.875	-61.25	-28.75	-30.625	-30.625	-30	-28.125	-28.125	-26.875	-26.25	-28.75	-28.125	-30.625
-14.375	-12.5	-11.25	-13.75	-16.25	-16.25	-15	-13.75	-21.875	-13.125	-14.375	-17.5	-16.875	-60	-30.625	-30	-30	-29.375	-31.25	-27.5	-23.75	-23.125	-26.875	-27.5	-30
-11.25	-14.375	-8.75	-11.875	-20	-18.125	-13.125	-14.375	-20	-14.375	-14.375	-18.75	-18.75	-59.375	-34.375	-30	-28.75	-27.5	-29.375	-25	-24.375	-22.5	-26.875	-27.5	-30.625
-11.875	-10	-8.75	-8.125	-18.125	-13.75	-11.25	-11.25	-16.875	-13.75	-13.125	-15.625	-18.75	-60	-33.125	-30.625	-30	-29.375	-28.75	-25.625	-27.5	-23.125	-28.125	-25.625	-30
-14.375	-11.25	-12.5	-8.125	-15.625	-14.375	-12.5	-11.25	-18.125	-10	-14.375	-15	-17.5	-63.125	-30	-33.125	-30	-25.625	-25.625	-26.875	-29.375	-27.5	-28.75	-25.625	-30.625
-13.125	-14.375	-13.125	-10	-13.125	-10.625	-13.75	-13.125	-20	-10	-13.75	-16.875	-18.125	-60	-29.375	-35.625	-30	-27.5	-26.25	-28.75	-29.375	-28.125	-26.25	-27.5	-29.375
-13.125	-15.625	-13.75	-11.25	-11.875	-15.625	-13.125	-13.75	-20.625	-10	-12.5	-16.875	-18.75	-58.75	-31.875	-35	-31.25	-26.25	-23.125	-26.875	-26.25	-27.5	-26.875	-25	-27.5
-10.625	-13.125	-13.125	-13.125	-12.5	-15.625	-10.625	-12.5	-17.5	-7.5	-13.125	-19.375	-18.75	-60	-33.125	-32.5	-33.75	-26.875	-29.375	-27.5	-28.75	-26.875	-28.75	-26.875	-31.25
-10	-15	-9.375	-11.875	-16.25	-13.75	-10.625	-13.125	-18.75	-6.875	-17.5	-20	-20.625	-56.875	-31.875	-30	-33.125	-27.5	-30	-26.25	-30	-28.125	-28.125	-27.5	-33.125
-10	-15	-10	-11.25	-13.75	-18.125	-10.625	-11.875	-16.875	-8.75	-18.125	-18.75	-21.25	-58.75	-30	-30	-33.125	-30	-30	-25	-28.125	-27.5	-25	-30	-28.75
-10.625	-10	-10	-13.125	-14.375	-16.875	-10.625	-10.625	-16.875	-11.875	-18.125	-20	-22.5	-61.25	-28.125	-30	-32.5	-30.625	-27.5	-28.125	-28.75	-25.625	-26.25	-28.75	-31.25
-11.875	-10.625	-9.375	-14.375	-16.25	-15.625	-10.625	-11.25	-17.5	-13.75	-16.875	-18.75	-21.875	-59.375	-30	-34.375	-30	-28.125	-26.25	-25.625	-31.25	-24.375	-28.75	-26.25	-30
-11.875	-10.625	-9.375	-11.25	-15.625	-16.25	-13.75	-14.375	-18.125	-9.375	-19.375	-19.375	-21.25	-58.125	-31.875	-34.375	-31.875	-29.375	-28.125	-28.125	-29.375	-24.375	-27.5	-28.125	-29.375
-12.5	-13.75	-10.625	-10	-13.125	-15.625	-16.25	-11.875	-20.625	-11.25	-12.5	-18.75	-21.25	-59.375	-31.25	-33.125	-30.625	-29.375	-30.625	-28.125	-27.5	-29.375	-30	-28.125	-29.375
-10	-13.75	-10.625	-10.625	-11.875	-15.625	-17.5	-11.25	-20	-11.875	-12.5	-14.375	-23.75	-60	-32.5	-33.125	-29.375	-30	-30	-28.125	-24.375	-25.625	-29.375	-26.875	-30.625
-11.25	-15	-11.875	-11.875	-13.125	-16.875	-15.625	-13.75	-19.375	-10	-13.75	-18.125	-19.375	-60.625	-31.875	-31.25	-29.375	-30	-27.5	-26.25	-28.125	-24.375	-28.125	-25	-31.875
-13.125	-18.125	-8.75	-8.75	-13.75	-14.375	-16.25	-14.375	-20	-10.625	-16.875	-18.125	-17.5	-60	-29.375	-32.5	-31.875	-32.5	-27.5	-24.375	-26.875	-26.25	-28.125	-27.5	-31.25
-13.125	-10.625	-10	-11.25	-14.375	-13.125	-16.875	-10	-14.375	-11.25	-18.125	-18.75	-19.375	-58.125	-30.625	-30	-31.875	-31.875	-24.375	-29.375	-26.875	-28.125	-28.75	-30	-29.375
-13.125	-10	-6.25	-11.875	-11.875	-18.125	-14.375	-10	-13.125	-13.75	-16.25	-18.125	-20	-60.625	-30	-30.625	-30	-30.625	-26.875	-28.75	-29.375	-27.5	-30	-30	-30
-9.375	-15.625	-6.875	-10	-12.5	-19.375	-14.375	-15.625	-16.875	-13.125	-14.375	-16.875	-18.125	-61.875	-30	-32.5	-29.375	-28.75	-28.75	-26.25	-30.625	-25	-30	-28.125	-31.25
-13.125	-16.25	-9.375	-8.75	-14.375	-19.375	-13.75	-16.875	-20	-13.125	-19.375	-16.25	-16.875	-60.625	-30.625	-31.25	-30.625	-28.125	-28.75	-26.25	-31.25	-23.75	-29.375	-27.5	-30.625
-11.25	-15.625	-11.25	-8.125	-16.875	-18.125	-16.875	-14.375	-14.375	-12.5	-17.5	-17.5	-17.5	-55	-30	-33.125	-29.375	-28.125	-25	-26.25	-29.375	-26.875	-26.25	-28.125	-29.375
-13.125	-11.875	-8.125	-6.875	-17.5	-14.375	-18.75	-12.5	-16.25	-12.5	-18.75	-16.25	-20	-55.625	-33.125	-31.875	-28.75	-28.75	-31.25	-25	-30	-25.625	-22.5	-28.75	-30
-12.5	-10	-8.125	-10	-18.125	-18.125	-16.875	-10	-18.75	-15	-15.625	-13.75	-20	-57.5	-35	-31.25	-31.25	-28.75	-30	-26.25	-30	-25	-26.25	-25.625	-31.875
-13.125	-13.125	-13.125	-13.125	-18.125	-16.25	-16.875	-10	-16.25	-15	-16.875	-14.375	-18.75	-59.375	-33.125	-33.75	-31.875	-28.125	-30	-29.375	-28.125	-25.625	-25.625	-25.625	-32.5
-15	-12.5	-13.125	-12.5	-14.375	-16.25	-15	-13.125	-18.125	-11.875	-16.25	-15	-19.375	-59.375	-31.875	-33.125	-31.875	-28.125	-27.5	-25	-30	-27.5	-29.375	-26.875	-33.125
-13.75	-10.625	-11.25	-10.625	-12.5	-12.5	-13.125	-13.75	-21.875	-11.875	-12.5	-13.75	-18.75	-58.125	-29.375	-33.125	-29.375	-28.75	-25	-28.125	-29.375	-28.125	-29.375	-28.125	-35.625
-10.625	-10.625	-8.125	-16.25	-17.5	-14.375	-13.75	-14.375	-21.25	-10.625	-16.25	-16.25	-19.375	-60	-31.25	-33.125	-31.875	-30.625	-27.5	-24.375	-30.625	-28.75	-28.75	-24.375	-31.875
-12.5	-13.125	-9.375	-14.375	-13.75	-16.25	-13.125	-11.875	-19.375	-10.625	-19.375	-16.875	-17.5	-57.5	-33.75	-34.375	-34.375	-32.5	-29.375	-23.75	-30	-28.125	-26.25	-28.75	-31.25
-11.875	-13.125	-11.875	-15.625	-12.5	-15.625	-11.875	-9.375	-20.625	-10	-19.375	-16.25	-16.25	-57.5	-32.5	-36.875	-30	-29.375	-30	-23.75	-30.625	-25.625	-25.625	-28.75	-30.625
-11.875	-10	-11.875	-12.5	-12.5	-18.125	-10.625	-6.875	-21.25	-11.25	-14.375	-15.625	-15	-58.125	-31.25	-34.375	-30	-33.125	-30	-28.75	-29.375	-26.875	-25	-28.75	-30.625
-13.75	-10	-12.5	-10.625	-16.875	-15.625	-10.625	-8.75	-20	-13.125	-14.375	-15.625	-18.125	-60	-32.5	-33.75	-33.125	-31.875	-29.375	-25.625	-29.375	-30	-27.5	-26.25	-30
-11.875	-13.125	-12.5	-10.625	-18.75	-13.125	-13.125	-11.25	-19.375	-11.25	-18.125	-16.25	-18.75	-58.125	-33.125	-31.25	-30	-30	-30	-24.375	-30	-26.25	-27.5	-26.875	-29.375
-11.25	-16.875	-11.875	-10	-13.125	-15.625	-12.5	-15.625	-20.625	-10	-17.5	-15.625	-18.75	-58.125	-33.125	-34.375	-31.875	-30.625	-26.875	-24.375	-31.25	-23.75	-26.25	-25	-30
-10.625	-15.625	-11.25	-11.875	-12.5	-15	-11.875	-15.625	-20	-8.75	-15.625	-18.125	-18.75	-55.625	-31.25	-33.75	-31.25	-31.875	-26.875	-25.625	-28.75	-26.25	-26.875	-23.75	-33.125
-13.75	-16.25	-10.625	-13.125	-13.125	-17.5	-14.375	-11.25	-16.25	-6.25	-14.375	-14.375	-20	-60	-32.5	-36.25	-34.375	-28.125	-30	-26.875	-28.125	-28.125	-25.625	-24.375	-33.125
-13.125	-12.5	-8.125	-11.25	-13.125	-15.625	-18.125	-10.625	-15	-6.875	-13.75	-14.375	-20.625	-63.125	-30.625	-35.625	-31.875	-25.625	-30.625	-26.25	-28.125	-28.125	-26.875	-25	-30.625
-13.75	-11.875	-6.875	-12.5	-14.375	-12.5	-15	-11.875	-15.625	-10	-17.5	-16.25	-22.5	-60.625	-30	-34.375	-30	-29.375	-26.25	-25	-29.375	-25.625	-30	-23.125	-30.625
-16.875	-13.75	-9.375	-13.125	-13.125	-18.125	-13.75	-10.625	-20	-11.25	-15.625	-20.625	-21.875	-60.625	-31.875	-38.125	-29.375	-31.25	-24.375	-23.75	-30	-28.125	-28.75	-25	-34.375
-14.375	-14.375	-10.625	-11.875	-13.125	-19.375	-14.375	-12.5	-19.375	-13.75	-15.625	-20	-19.375	-58.75	-31.875	-34.375	-31.875	-33.125	-26.25	-27.5	-28.75	-26.875	-25	-23.125	-31.25
-12.5	-15.625	-10.625	-13.125	-15	-15	-12.5	-11.875	-15.625	-11.875	-16.875	-19.375	-20	-56.25	-31.875	-32.5	-31.875	-30.625	-26.25	-27.5	-30	-24.375	-27.5	-25	-31.875
-13.125	-13.125	-15	-11.25	-15	-15.625	-10.625	-11.875	-16.25	-11.25	-16.25	-18.125	-20	-58.125	-32.5	-30.625	-31.875	-29.375	-25.625	-25.625	-33.75	-25.625	-30	-27.5	-31.25
-13.125	-10.625	-15	-10.625	-16.25	-10.625	-14.375	-15	-16.875	-13.125	-15.625	-16.25	-19.375	-61.25	-35.625	-33.125	-30	-30	-26.875	-28.125	-32.5	-27.5	-30.625	-25.625	-29.375
-10	-11.25	-13.125	-10.625	-16.875	-13.75	-15	-12.5	-18.75	-13.125	-16.875	-19.375	-20	-60.625	-31.25	-31.25	-30.625	-28.75	-25.625	-26.875	-27.5	-24.375	-27.5	-30	-29.375
-10.625	-11.25	-10	-9.375	-16.25	-18.75	-13.75	-15	-17.5	-13.75	-18.75	-15	-20	-60.625	-33.125	-34.375	-33.125	-30.625	-25	-25.625	-28.75	-23.75	-29.375	-30	-30.625
-13.125	-13.125	-9.375	-8.125	-11.875	-17.5	-10.625	-12.5	-16.25	-13.125	-16.875	-11.25	-20	-60.625	-30.625	-36.875	-32.5	-33.125	-25.625	-25.625	-26.25	-28.75	-30	-26.875	-33.125
-15	-15	-10	-10	-10.625	-15.625	-13.75	-11.25	-17.5	-10.625	-16.875	-11.25	-15.625	-59.375	-28.75	-36.25	-31.875	-30.625	-27.5	-28.75	-25.625	-28.75	-28.125	-26.875	-30.625
-10	-16.25	-10	-14.375	-13.125	-12.5	-15	-10.625	-16.875	-12.5	-13.75	-16.25	-19.375	-60	-31.25	-36.875	-29.375	-30	-26.875	-27.5	-29.375	-28.125	-25	-29.375	-32.5
-8.75	-13.125	-10.625	-14.375	-14.375	-16.25	-13.75	-10	-20	-11.25	-14.375	-17.5	-20.625	-60.625	-30	-35.625	-30	-30.625	-28.125	-26.875	-28.75	-25.625	-25	-26.25	-33.125
-14.375	-10	-10	-10.625	-11.875	-18.75	-15.625	-8.125	-16.875	-8.75	-13.125	-18.75	-23.125	-60	-30.625	-34.375	-30.625	-33.75	-29.375	-23.75	-24.375	-26.25	-26.875	-25.625	-29.375
-13.75	-11.875	-10.625	-8.125	-13.125	-18.125	-11.25	-8.75	-20	-8.75	-14.375	-16.875	-20.625	-60.625	-30	-29.375	-31.25	-29.375	-28.75	-24.375	-23.125	-28.125	-26.25	-30	-28.75
-14.375	-12.5	-8.75	-11.875	-13.75	-16.875	-11.25	-13.125	-22.5	-12.5	-13.75	-18.125	-20	-61.875	-30.625	-30.625	-33.125	-30	-26.875	-22.5	-26.25	-25.625	-27.5	-30	-31.25
-9.375	-14.375	-10.625	-12.5	-14.375	-11.875	-15.625	-13.125	-18.125	-13.125	-13.75	-15	-20.625	-64.375	-30	-31.25	-28.75	-30	-26.875	-23.125	-27.5	-27.5	-28.125	-27.5	-33.75
-5.625	-13.75	-11.25	-10	-15	-10	-16.25	-9.375	-17.5	-12.5	-13.125	-16.875	-22.5	-64.375	-26.875	-33.125	-28.75	-30	-26.875	-25	-27.5	-28.125	-26.875	-28.125	-31.25
-10.625	-13.125	-9.375	-8.75	-14.375	-14.375	-15.625	-10	-16.875	-13.125	-13.75	-17.5	-19.375	-61.25	-25.625	-35.625	-30.625	-30	-27.5	-27.5	-27.5	-27.5	-30	-30.625	-31.25
-11.25	-13.125	-7.5	-11.25	-10.625	-13.75	-15.625	-12.5	-17.5	-13.75	-15	-14.375	-18.125	-63.125	-29.375	-35	-31.875	-29.375	-28.125	-26.25	-27.5	-25	-27.5	-29.375	-31.875
-11.875	-10.625	-10.625	-12.5	-10.625	-18.125	-13.75	-13.125	-18.125	-14.375	-16.875	-14.375	-16.875	-60.625	-28.75	-35.625	-26.25	-30.625	-25.625	-23.75	-29.375	-25	-28.125	-28.75	-31.875
-14.375	-10.625	-10	-11.875	-15	-18.125	-11.875	-11.875	-15	-14.375	-19.375	-17.5	-17.5	-60	-30.625	-34.375	-27.5	-30	-25.625	-26.875	-30	-27.5	-30	-29.375	-33.75
-15.625	-11.25	-12.5	-11.875	-15.625	-14.375	-13.75	-10	-20	-14.375	-17.5	-20	-21.875	-60	-34.375	-30.625	-30.625	-30	-26.25	-26.25	-26.875	-28.125	-29.375	-28.75	-32.5
-15	-8.125	-10	-10	-15	-16.875	-13.75	-10.625	-21.875	-10.625	-13.125	-17.5	-20.625	-60	-33.125	-32.5	-31.875	-30	-28.125	-25	-25.625	-25.625	-31.25	-28.125	-31.875
-14.375	-10	-10.625	-11.875	-15.625	-16.875	-14.375	-11.25	-20	-9.375	-15	-15	-20	-58.125	-34.375	-37.5	-30	-29.375	-30	-25.625	-26.25	-24.375	-28.75	-27.5	-30
-13.75	-11.875	-10.625	-13.75	-12.5	-13.125	-11.875	-12.5	-19.375	-10.625	-13.75	-15	-16.875	-58.125	-34.375	-31.875	-28.125	-26.875	-29.375	-26.875	-26.875	-26.875	-26.875	-28.75	-30.625
-11.25	-14.375	-10	-13.125	-10	-16.25	-11.875	-14.375	-18.125	-12.5	-16.875	-16.25	-18.75	-61.25	-31.25	-30.625	-29.375	-25.625	-24.375	-29.375	-29.375	-30.625	-28.75	-26.875	-30.625
-12.5	-10	-13.125	-10.625	-14.375	-18.125	-15	-11.875	-23.125	-12.5	-15.625	-16.25	-18.125	-59.375	-33.75	-33.125	-34.375	-30	-26.875	-30.625	-30	-29.375	-28.75	-23.75	-28.75
-11.875	-10	-11.875	-10	-14.375	-13.75	-15.625	-10.625	-24.375	-14.375	-16.25	-16.875	-16.875	-60	-29.375	-33.75	-34.375	-30	-27.5	-26.875	-27.5	-26.25	-29.375	-24.375	-30
-13.125	-13.125	-9.375	-13.75	-13.125	-17.5	-14.375	-12.5	-20.625	-10	-17.5	-14.375	-14.375	-60	-30.625	-31.875	-33.125	-29.375	-26.875	-25	-28.75	-26.25	-28.125	-24.375	-36.25
-14.375	-13.125	-10.625	-13.125	-10	-16.25	-14.375	-15	-18.125	-10.625	-16.25	-14.375	-16.875	-60	-34.375	-28.75	-30	-29.375	-25.625	-24.375	-30	-29.375	-26.25	-26.25	-32.5
-14.375	-13.125	-11.875	-9.375	-12.5	-15	-14.375	-13.125	-18.125	-12.5	-16.875	-15.625	-18.125	-61.875	-31.875	-33.125	-30	-30.625	-28.125	-23.125	-26.25	-25.625	-26.25	-25.625	-33.125
-13.125	-12.5	-13.125	-10	-15.625	-16.25	-18.75	-11.25	-19.375	-10.625	-15.625	-18.125	-21.25	-59.375	-30.625	-31.875	-28.75	-34.375	-30.625	-23.75	-25	-23.125	-28.125	-25.625	-31.875
-13.125	-11.25	-11.25	-10.625	-13.75	-18.125	-15.625	-15.625	-21.875	-11.25	-16.875	-18.75	-20	-61.25	-33.125	-31.25	-30	-33.75	-28.125	-26.875	-26.875	-24.375	-30	-29.375	-31.875
-15	-10.625	-11.25	-13.125	-15.625	-16.875	-13.75	-12.5	-20.625	-15	-18.125	-20	-20	-64.375	-31.25	-30	-31.875	-32.5	-23.75	-25	-30	-25	-30	-30	-30
-10.625	-13.75	-14.375	-10	-13.75	-11.875	-14.375	-13.75	-19.375	-11.875	-15	-19.375	-19.375	-61.875	-28.75	-28.75	-30.625	-35.625	-24.375	-25.625	-29.375	-23.125	-28.75	-26.25	-30
-11.875	-13.75	-12.5	-10	-13.125	-15	-15.625	-15.625	-18.75	-11.25	-17.5	-16.25	-20	-61.25	-31.25	-31.875	-29.375	-34.375	-26.875	-25.625	-25.625	-25.625	-29.375	-22.5	-31.25
-15	-12.5	-9.375	-11.875	-16.25	-17.5	-12.5	-10	-18.75	-11.875	-17.5	-16.875	-20.625	-60.625	-36.875	-31.875	-30	-31.875	-30	-27.5	-27.5	-26.875	-30	-20.625	-31.25
-14.375	-13.125	-11.875	-13.125	-18.75	-16.875	-16.25	-11.25	-18.75	-10	-15.625	-18.125	-20	-60.625	-36.875	-36.25	-30	-26.25	-28.125	-26.875	-30.625	-22.5	-28.75	-23.125	-29.375
-11.25	-16.25	-12.5	-10.625	-13.125	-16.875	-14.375	-13.75	-20	-11.875	-14.375	-16.25	-17.5	-60	-32.5	-35	-25.625	-29.375	-27.5	-25	-28.75	-23.75	-28.75	-27.5	-31.25
-13.125	-18.75	-10.625	-11.875	-11.875	-11.875	-13.75	-12.5	-20.625	-10	-16.875	-17.5	-19.375	-56.875	-31.25	-33.125	-30	-31.25	-26.25	-25	-26.875	-23.125	-30	-31.875	-34.375
-15	-18.75	-9.375	-10	-13.125	-11.875	-13.75	-10.625	-18.125	-10.625	-12.5	-16.25	-20	-56.875	-30.625	-30	-31.875	-29.375	-25.625	-24.375	-25	-26.875	-27.5	-30	-33.75
-16.875	-12.5	-8.125	-9.375	-11.25	-13.75	-11.25	-10.625	-16.25	-10	-10	-13.75	-23.125	-58.125	-30.625	-29.375	-31.25	-30.625	-28.75	-25.625	-26.875	-29.375	-23.75	-28.75	-31.25
-20	-12.5	-7.5	-11.875	-13.125	-15.625	-10.625	-14.375	-16.875	-10	-13.125	-11.875	-20	-60.625	-30.625	-30.625	-31.25	-32.5	-27.5	-26.25	-28.125	-28.125	-26.875	-27.5	-30
-18.125	-11.875	-9.375	-19.375	-14.375	-19.375	-10.625	-14.375	-17.5	-13.75	-13.75	-13.75	-19.375	-62.5	-31.25	-30	-33.125	-30.625	-26.25	-21.25	-23.75	-21.25	-28.75	-27.5	-30.625
-15	-10	-10	-16.25	-10	-18.75	-11.25	-17.5	-18.75	-15.625	-15.625	-20	-18.75	-60.625	-31.875	-30	-31.25	-31.25	-26.25	-21.25	-24.375	-20.625	-28.75	-26.875	-34.375
-13.125	-13.125	-10.625	-11.875	-10	-16.25	-13.75	-13.75	-20	-12.5	-15	-19.375	-20.625	-57.5	-30	-27.5	-31.875	-28.75	-28.75	-23.125	-24.375	-25	-30.625	-28.125	-32.5
-13.75	-12.5	-10.625	-13.125	-13.75	-10.625	-12.5	-10.625	-20	-11.25	-13.125	-17.5	-19.375	-60.625	-30.625	-29.375	-29.375	-28.125	-28.125	-26.25	-25.625	-30	-30	-28.75	-30.625
-15	-11.875	-11.25	-8.75	-15.625	-10	-15	-11.875	-15.625	-14.375	-13.125	-18.75	-20.625	-60	-33.125	-34.375	-30	-30	-27.5	-30.625	-26.25	-29.375	-26.25	-28.125	-30.625
-11.875	-11.875	-12.5	-9.375	-11.25	-13.125	-16.25	-10.625	-17.5	-15.625	-13.125	-16.25	-18.75	-57.5	-31.875	-33.75	-31.25	-31.875	-28.125	-30.625	-27.5	-26.875	-26.25	-25.625	-32.5
-10.625	-13.125	-10	-8.75	-11.875	-14.375	-14.375	-12.5	-19.375	-10.625	-11.875	-15.625	-18.125	-56.25	-30	-33.125	-30	-30.625	-27.5	-28.125	-26.875	-26.25	-26.875	-28.75	-31.25
-11.875	-11.25	-10	-10.625	-13.75	-14.375	-11.25	-14.375	-20	-9.375	-12.5	-15.625	-20	-60	-32.5	-33.125	-30.625	-29.375	-30.625	-26.875	-26.25	-26.875	-29.375	-26.875	-32.5
